id	filename	md5	size	state
68f65912-47da-44b1-8f4c-a6107428fba6	TCGA-4N-A93T-01Z-00-DX2.875E7F95-A6D4-4BEB-A331-F9D8080898C2.svs	24bd028468f4a70dd6169c0a2cfe402d	1594624613	released
2d3b690e-06a8-43ad-9235-dc5eef98dd19	TCGA-A6-2682-01Z-00-DX1.be71dca0-b9b7-40be-a6c6-9d053c7886a6.svs	bc63dd6e5f6732173386a987ad9e9bdf	316352773	released
001b7d97-9425-43c3-a9a3-a36cb3d2a591	TCGA-A6-2686-01Z-00-DX1.0540a027-2a0c-46c7-9af0-7b8672631de7.svs	180d8f24d037b1e5e70dcd3dbc360b2d	497633503	released
ace9aef0-0144-4e2b-b5d5-454024a7c591	TCGA-A6-2678-01Z-00-DX1.bded5c5c-555a-492a-91c7-151492d0ee5e.svs	cd7238a283455f419d80531e568aa00b	179013807	released
4f8edf30-a7bc-4a4a-a8bd-3af91fbddce2	TCGA-A6-2684-01Z-00-DX1.be127778-e160-4ae3-9e5a-13a16eae2e7a.svs	3fcafb900bc76bc9f58f3b3b670241a7	172005717	released
8e176cfe-6a85-4429-808d-af8e8e56e734	TCGA-A6-3807-01Z-00-DX1.c3de2064-4f8d-4786-9ff9-2e0f44293717.svs	e2ae70b4cb08e8ec44b177121efa44b6	368808405	released
dffdc56e-f1f5-4a1b-a16b-561462b3b740	TCGA-4N-A93T-01Z-00-DX1.82E240B1-22C3-46E3-891F-0DCE35C43F8B.svs	101243b373ac1cb67b393c510872855b	938870973	released
43d122bb-54c5-42f2-9f1e-4fbc108f4c4a	TCGA-5M-AAT5-01Z-00-DX1.548E7CEB-48FB-4037-A616-39AB025E7A73.svs	417f6e60f37fe80ffc3e9afcd4c41499	2497921503	released
